price,area_m2,bedrooms,bathrooms,parking,price/m2,neighborhood
580000,92,3,3,2,6304.35,JOAQUIM TAVORA
400000,78,2,3,2,5128.21,ALDEOTA
529000,77,3,2,2,6870.13,MEIRELES
550000,158,4,2,2,3481.01,COCO
300000,108,3,2,2,2777.78,COCO
458000,78,3,2,2,5871.79,PATRIOLINO RIBEIRO
190000,147,3,3,1,1292.52,JOAQUIM TAVORA
600000,123,3,4,2,4878.05,JOAQUIM TAVORA
590000,98,3,3,2,6020.41,ALDEOTA
475000,84,3,2,2,5654.76,PARQUELANDIA
219000,104,3,3,2,2105.77,COCO
540000,94,3,3,2,5744.68,PRESIDENTE KENNEDY
800000,212,3,4,3,3773.58,PATRIOLINO RIBEIRO
650000,90,3,3,2,7222.22,FATIMA
415000,77,3,3,2,5389.61,PATRIOLINO RIBEIRO
390000,130,3,2,2,3000.0,DIONISIO TORRES
235000,64,3,2,1,3671.88,PARANGABA
490000,72,3,3,2,6805.56,ENG LUCIANO CAVALCANTE
570000,75,3,3,2,7600.0,MEIRELES
330000,70,3,1,2,4714.29,ENG LUCIANO CAVALCANTE
415000,118,3,2,2,3516.95,MUCURIPE
470000,73,3,3,2,6438.36,CENTRO
310000,72,3,3,2,4305.56,PAPICU
128000,58,3,1,1,2206.9,MESSEJANA
320000,114,3,2,2,2807.02,ALDEOTA
434724,73,3,2,2,5955.12,ENG LUCIANO CAVALCANTE
190000,140,3,4,2,1357.14,COCO
128000,58,3,2,1,2206.9,MESSEJANA
460000,70,3,2,2,6571.43,MEIRELES
529000,78,3,2,2,6782.05,ALDEOTA
200000,98,3,3,1,2040.82,MONTESE
168000,69,2,1,1,2434.78,CAJAZEIRAS
160000,44,2,1,1,3636.36,MARAPONGA
499000,75,3,1,2,6653.33,JOAQUIM TAVORA
185000,52,2,1,1,3557.69,CAJAZEIRAS
440000,55,2,2,1,8000.0,MEIRELES
480000,77,2,3,2,6233.77,MEIRELES
495000,126,3,5,2,3928.57,DE LOURDES
280000,64,3,2,2,4375.0,MONTE CASTELO
380000,162,3,3,2,2345.68,FATIMA
529000,77,3,2,2,6870.13,ALDEOTA
430000,81,3,3,2,5308.64,EDSON QUEIROZ
395000,75,2,3,2,5266.67,PATRIOLINO RIBEIRO
520000,74,3,3,2,7027.03,MEIRELES
499000,72,3,3,2,6930.56,PATRIOLINO RIBEIRO
575000,135,3,5,3,4259.26,ALDEOTA
600000,84,3,3,2,7142.86,COCO
440000,122,3,3,2,3606.56,SALINAS
560000,127,3,3,2,4409.45,DE LOURDES
230000,127,3,3,1,1811.02,MEIRELES
200000,56,2,1,1,3571.43,MARAPONGA
460000,168,3,4,2,2738.1,ALDEOTA
514000,74,3,2,2,6945.95,MEIRELES
220000,63,3,1,1,3492.06,MARAPONGA
250000,60,3,2,1,4166.67,CIDADE DOS FUNCIONARIOS
260000,65,3,2,1,4000.0,PARQUELANDIA
270000,65,3,2,2,4153.85,MESSEJANA
350000,112,3,3,2,3125.0,BENFICA
247000,76,3,2,2,3250.0,PASSARE
285000,120,4,3,3,2375.0,JOQUEI CLUBE
530000,106,3,1,2,5000.0,ALDEOTA
260000,78,3,2,2,3333.33,PRESIDENTE KENNEDY
379000,70,2,3,2,5414.29,PARQUE IRACEMA
200000,75,3,3,1,2666.67,PAPICU
210000,69,3,3,1,3043.48,DAMAS
350000,70,3,3,2,5000.0,CAMBEBA
729000,118,3,1,2,6177.97,ALDEOTA
195000,104,3,3,2,1875.0,SAO JOAO DO TAUAPE
349000,68,3,2,1,5132.35,PAPICU
215000,56,2,2,1,3839.29,MANUEL DIAS BRANCO
570000,76,3,2,1,7500.0,PRAIA DE IRACEMA
750000,245,3,5,5,3061.22,ALDEOTA
260000,100,3,3,1,2600.0,PAPICU
319000,85,3,3,2,3752.94,ALDEOTA
399000,98,2,2,1,4071.43,PATRIOLINO RIBEIRO
240000,100,3,2,1,2400.0,ALDEOTA
380000,80,2,2,2,4750.0,COCO
190000,60,2,2,2,3166.67,PAPICU
599000,145,3,4,2,4131.03,ALDEOTA
420000,74,3,2,2,5675.68,ENG LUCIANO CAVALCANTE
299000,78,2,2,1,3833.33,PAPICU
590000,99,3,3,2,5959.6,ALDEOTA
340000,116,3,1,3,2931.03,ALDEOTA
590000,94,3,3,2,6276.6,PAPICU
470000,128,3,4,2,3671.88,COCO
420000,116,3,4,2,3620.69,SALINAS
180000,70,3,3,1,2571.43,CAJAZEIRAS
122000,46,2,1,1,2652.17,PARQUE DOIS IRMAOS
550000,97,3,1,2,5670.1,MEIRELES
480000,68,3,2,2,7058.82,MEIRELES
160000,60,3,1,2,2666.67,SAPIRANGA COITE
270000,64,3,2,1,4218.75,MONTE CASTELO
620000,111,3,4,2,5585.59,ALDEOTA
550000,87,3,3,2,6321.84,FATIMA
550000,79,3,3,2,6962.03,ENG LUCIANO CAVALCANTE
369000,111,2,1,2,3324.32,MESSEJANA
280000,65,3,2,2,4307.69,MESSEJANA
159422,57,2,2,2,2796.88,MONDUBIM
650000,99,3,4,2,6565.66,COCO
140000,69,3,1,1,2028.99,DAMAS
210000,64,3,2,1,3281.25,DAMAS
788810,76,3,2,2,10379.08,ENG LUCIANO CAVALCANTE
410000,69,3,1,2,5942.03,PATRIOLINO RIBEIRO
687000,98,4,3,2,7010.2,ALDEOTA
750000,170,3,5,4,4411.76,PAPICU
349000,75,3,2,2,4653.33,CIDADE 2000
345000,73,3,2,2,4726.03,CIDADE 2000
644898,76,3,3,2,8485.5,MEIRELES
480000,89,3,2,2,5393.26,PARQUE IRACEMA
509000,98,3,4,2,5193.88,JOSE BONIFACIO
770000,93,3,4,2,8279.57,ALDEOTA
599000,115,3,4,2,5208.7,ALDEOTA
550000,113,3,3,2,4867.26,PARQUE IRACEMA
430000,74,3,2,2,5810.81,ENG LUCIANO CAVALCANTE
250000,100,3,3,1,2500.0,PAPICU
520000,96,3,3,2,5416.67,PAPICU
599000,75,3,2,2,7986.67,JOAQUIM TAVORA
390000,70,3,2,2,5571.43,FATIMA
735000,91,3,2,2,8076.92,EDSON QUEIROZ
230000,89,3,2,2,2584.27,PARANGABA
495000,68,3,2,2,7279.41,BENFICA
450000,169,3,3,2,2662.72,PAPICU
280000,65,2,3,1,4307.69,PAPICU
410000,70,2,2,2,5857.14,CIDADE DOS FUNCIONARIOS
455000,82,3,3,2,5548.78,PATRIOLINO RIBEIRO
550000,78,3,3,2,7051.28,MANUEL DIAS BRANCO
550000,74,3,3,2,7432.43,ENG LUCIANO CAVALCANTE
190000,66,3,2,1,2878.79,CIDADE DOS FUNCIONARIOS
699000,98,3,4,2,7132.65,ENG LUCIANO CAVALCANTE
280000,122,3,4,3,2295.08,FATIMA
155000,51,2,2,1,3039.22,MONDUBIM
349000,84,3,3,2,4154.76,MARAPONGA
480000,149,4,4,2,3221.48,ALDEOTA
675743,86,3,3,2,7857.48,MEIRELES
550000,126,4,4,2,4365.08,ALDEOTA
280000,64,2,2,1,4375.0,PAPICU
145000,49,2,1,1,2959.18,MESSEJANA
300000,72,3,2,2,4166.67,DAMAS
499000,75,3,3,2,6653.33,JOAQUIM TAVORA
420000,74,3,2,2,5675.68,ENG LUCIANO CAVALCANTE
579509,75,3,3,2,7726.79,CIDADE DOS FUNCIONARIOS
499000,74,3,3,2,6743.24,ENG LUCIANO CAVALCANTE
190000,44,2,1,1,4318.18,MONDUBIM
550000,79,3,3,2,6962.03,ENG LUCIANO CAVALCANTE
469000,74,3,3,2,6337.84,ENG LUCIANO CAVALCANTE
590000,114,3,4,2,5175.44,DIONISIO TORRES
675000,104,3,3,2,6490.38,COCO
435000,70,3,2,2,6214.29,FATIMA
900000,105,3,3,2,8571.43,PARQUE IRACEMA
644532,76,3,3,2,8480.68,MEIRELES
620000,111,3,5,2,5585.59,ALDEOTA
525000,74,3,3,2,7094.59,ENG LUCIANO CAVALCANTE
420000,74,3,2,2,5675.68,ENG LUCIANO CAVALCANTE
520000,80,3,3,2,6500.0,EDSON QUEIROZ
480000,120,3,3,2,4000.0,ALDEOTA
510000,82,3,3,2,6219.51,PATRIOLINO RIBEIRO
706000,89,3,2,2,7932.58,BENFICA
250000,91,3,3,2,2747.25,JACARECANGA
199000,67,3,2,1,2970.15,SAO GERARDO
479900,89,3,2,2,5392.13,PARQUE IRACEMA
650000,98,3,4,2,6632.65,ALDEOTA
680000,65,2,2,1,10461.54,ALDEOTA
380000,200,3,4,2,1900.0,PRAIA DO FUTURO I
551250,74,3,3,2,7449.32,ENG LUCIANO CAVALCANTE
379000,105,3,3,1,3609.52,ALDEOTA
499000,73,2,3,2,6835.62,PATRIOLINO RIBEIRO
450000,99,3,3,2,4545.45,COCO
185000,51,2,2,1,3627.45,PASSARE
586400,109,3,4,2,5379.82,PAPICU
280000,66,2,2,1,4242.42,MUCURIPE
190000,120,3,1,1,1583.33,JOAQUIM TAVORA
480000,75,3,3,2,6400.0,JOAQUIM TAVORA
290000,70,3,3,1,4142.86,VICENTE PINZON
599000,75,3,2,2,7986.67,JOAQUIM TAVORA
510000,79,3,3,2,6455.7,MANUEL DIAS BRANCO
597000,195,4,4,4,3061.54,ENG LUCIANO CAVALCANTE
579000,92,3,4,2,6293.48,COCO
550000,130,3,5,2,4230.77,DE LOURDES
550000,122,3,2,2,4508.2,COCO
730000,118,3,4,2,6186.44,DIONISIO TORRES
517000,100,3,4,2,5170.0,FATIMA
650000,122,4,4,2,5327.87,PARQUE IRACEMA
220000,130,3,2,2,1692.31,PASSARE
240000,125,3,1,2,1920.0,ALDEOTA
480000,56,2,2,1,8571.43,MEIRELES
325000,69,3,2,2,4710.14,ENG LUCIANO CAVALCANTE
479900,88,3,4,2,5453.41,PARQUE IRACEMA
240000,85,3,3,2,2823.53,VICENTE PINZON
380000,98,3,3,2,3877.55,MEIRELES
630000,88,3,4,2,7159.09,ALDEOTA
195000,70,2,2,2,2785.71,DIONISIO TORRES
280000,72,3,2,2,3888.89,MESSEJANA
380000,80,3,3,2,4750.0,MUCURIPE
340000,135,3,3,2,2518.52,PAPICU
160000,70,3,1,1,2285.71,PAPICU
280000,140,3,3,2,2000.0,DIONISIO TORRES
140000,65,3,1,1,2153.85,EDSON QUEIROZ
692000,94,3,3,2,7361.7,PAPICU
600000,126,3,4,2,4761.9,VARJOTA
160000,95,3,2,1,1684.21,PARANGABA
440000,106,3,3,2,4150.94,COCO
180000,76,3,2,1,2368.42,MONTESE
597000,77,3,3,2,7753.25,ENG LUCIANO CAVALCANTE
210000,74,3,2,1,2837.84,MESSEJANA
995000,122,3,1,3,8155.74,MEIRELES
505000,101,3,4,2,5000.0,JOSE BONIFACIO
651000,90,3,3,2,7233.33,PATRIOLINO RIBEIRO
375000,74,3,3,2,5067.57,CAMBEBA
380000,129,3,3,2,2945.74,VARJOTA
399000,56,2,2,2,7125.0,FATIMA
590000,74,3,3,2,7972.97,MEIRELES
210000,65,3,2,2,3230.77,PASSARE
550000,140,3,5,2,3928.57,MEIRELES
420000,74,3,4,2,5675.68,ENG LUCIANO CAVALCANTE
220000,130,3,2,2,1692.31,PASSARE
590000,105,3,4,2,5619.05,ENG LUCIANO CAVALCANTE
550000,82,3,4,2,6707.32,EDSON QUEIROZ
385000,72,3,2,2,5347.22,SAO GERARDO
620000,111,3,4,2,5585.59,ALDEOTA
279000,71,3,2,2,3929.58,MARAPONGA
420000,74,3,2,2,5675.68,ENG LUCIANO CAVALCANTE
600000,114,3,3,2,5263.16,CIDADE DOS FUNCIONARIOS
250000,54,2,2,1,4629.63,PARQUE DOIS IRMAOS
390000,130,3,4,2,3000.0,ALDEOTA
355000,65,3,3,2,5461.54,FATIMA
290000,119,3,3,2,2436.97,FATIMA
285000,105,3,2,2,2714.29,CENTRO
359000,91,3,3,2,3945.05,COCO
550000,130,3,4,2,4230.77,VARJOTA
179000,60,3,2,1,2983.33,MESSEJANA
299000,69,3,2,2,4333.33,PARANGABA
500000,80,2,2,1,6250.0,MEIRELES
669600,130,3,4,2,5150.77,PAPICU
180000,72,3,1,2,2500.0,MESSEJANA
450000,80,3,1,2,5625.0,EDSON QUEIROZ
370000,135,3,4,2,2740.74,DIONISIO TORRES
590000,96,3,3,2,6145.83,COCO
180000,71,3,2,2,2535.21,SAO GERARDO
530000,81,3,3,2,6543.21,ALDEOTA
465000,70,3,2,2,6642.86,ENG LUCIANO CAVALCANTE
230000,123,3,3,2,1869.92,JOSE BONIFACIO
535000,75,3,2,2,7133.33,COCO
669000,130,3,4,2,5146.15,PAPICU
350000,62,3,2,1,5645.16,MUCURIPE
529999,96,3,3,2,5520.82,DIONISIO TORRES
350000,100,3,2,3,3500.0,PAPICU
250000,60,3,3,2,4166.67,SAPIRANGA COITE
499000,80,2,3,2,6237.5,MUCURIPE
580000,118,3,4,3,4915.25,DIONISIO TORRES
592700,105,3,3,2,5644.76,ENG LUCIANO CAVALCANTE
200000,134,3,2,1,1492.54,DIONISIO TORRES
590000,97,3,4,2,6082.47,MANUEL DIAS BRANCO
585000,71,3,1,2,8239.44,ENG LUCIANO CAVALCANTE
390000,130,3,3,2,3000.0,DIONISIO TORRES
199999,63,3,2,2,3174.59,ENG LUCIANO CAVALCANTE
153000,66,2,2,1,2318.18,JOSE DE ALENCAR
593000,94,3,1,2,6308.51,PRESIDENTE KENNEDY
589999,105,3,3,2,5619.04,MUCURIPE
460000,74,3,3,2,6216.22,MEIRELES
651816,95,3,1,2,6861.22,COCO
320000,152,3,4,2,2105.26,VICENTE PINZON
599000,150,3,4,2,3993.33,ALDEOTA
240000,65,3,2,2,3692.31,PASSARE
569999,100,3,3,2,5699.99,DIONISIO TORRES
350000,62,2,2,1,5645.16,PRAIA DE IRACEMA
245000,75,3,3,2,3266.67,ALDEOTA
680000,84,3,4,2,8095.24,COCO
680000,110,3,4,3,6181.82,MEIRELES
310000,56,2,2,1,5535.71,PAPICU
750000,120,4,4,3,6250.0,COCO
300000,69,3,1,2,4347.83,PAPICU
460000,95,3,4,2,4842.11,FATIMA
295000,124,3,3,2,2379.03,DIONISIO TORRES
220000,107,3,2,2,2056.07,PAPICU
295000,90,3,3,1,3277.78,CENTRO
160000,80,3,2,1,2000.0,PAPICU
350000,109,3,3,2,3211.01,PAPICU
579900,120,3,4,2,4832.5,ALDEOTA
595000,112,4,4,3,5312.5,ENG LUCIANO CAVALCANTE
400000,165,3,1,1,2424.24,DIONISIO TORRES
490000,74,3,3,2,6621.62,MEIRELES
225000,85,3,2,1,2647.06,SAPIRANGA COITE
599000,109,3,4,2,5495.41,MEIRELES
410000,137,3,3,2,2992.7,PAPICU
950000,120,3,4,3,7916.67,ALDEOTA
676666,110,3,4,2,6151.51,ALDEOTA
220000,128,3,1,2,1718.75,FATIMA
490000,100,3,3,2,4900.0,FATIMA
390000,174,3,4,2,2241.38,PAPICU
210000,61,3,2,1,3442.62,PASSARE
370000,99,4,4,2,3737.37,BENFICA
240000,58,3,1,2,4137.93,PARQUE DOIS IRMAOS
260000,84,3,1,1,3095.24,MESSEJANA
300000,115,3,2,2,2608.7,DIONISIO TORRES
675000,104,3,3,2,6490.38,COCO
365000,124,3,3,2,2943.55,JOAQUIM TAVORA
700000,97,3,4,2,7216.49,DE LOURDES
619000,200,3,2,5,3095.0,DIONISIO TORRES
385000,115,3,3,2,3347.83,JOAQUIM TAVORA
690000,76,3,2,2,9078.95,ENG LUCIANO CAVALCANTE
470000,119,3,3,2,3949.58,PAPICU
390000,133,3,2,2,2932.33,COCO
710000,89,3,3,2,7977.53,FATIMA
375518,75,3,2,2,5006.91,VICENTE PINZON
240000,76,3,1,2,3157.89,MARAPONGA
599000,114,3,4,2,5254.39,DIONISIO TORRES
580000,100,4,4,2,5800.0,COCO
490000,82,3,3,2,5975.61,MEIRELES
529000,76,3,4,2,6960.53,MEIRELES
645000,364,5,6,3,1771.98,PRAIA DO FUTURO I
215000,102,3,2,2,2107.84,ALDEOTA
443350,81,3,2,1,5473.46,DAMAS
229999,110,3,2,1,2090.9,FATIMA
400000,170,3,4,3,2352.94,ALDEOTA
199000,66,1,2,1,3015.15,PRAIA DO FUTURO
435000,80,2,2,2,5437.5,MEIRELES
225000,63,3,2,1,3571.43,SAPIRANGA COITE
550000,90,3,3,2,6111.11,VILA UNIAO
180000,83,3,1,2,2168.67,VILA UNIAO
620000,111,3,4,2,5585.59,ALDEOTA
429100,70,3,2,2,6130.0,ENG LUCIANO CAVALCANTE
539000,82,3,3,2,6573.17,ENG LUCIANO CAVALCANTE
480000,74,3,3,2,6486.49,CAMBEBA
150000,66,3,2,1,2272.73,CAJAZEIRAS
199000,86,3,3,1,2313.95,VILA UNIAO
359999,121,3,3,2,2975.2,ALDEOTA
499550,70,2,3,2,7136.43,PATRIOLINO RIBEIRO
950000,205,4,5,5,4634.15,MEIRELES
990000,143,4,4,3,6923.08,PATRIOLINO RIBEIRO
550000,112,3,4,2,4910.71,FATIMA
295000,94,3,2,1,3138.3,ALDEOTA
200000,45,2,1,5,4444.44,PARQUE IRACEMA
245000,82,2,2,2,2987.8,PARQUE DOIS IRMAOS
720000,105,3,3,2,6857.14,VARJOTA
564000,88,3,3,2,6409.09,DE LOURDES
700000,112,3,3,2,6250.0,COCO
589999,135,4,3,2,4370.36,DIONISIO TORRES
350000,84,3,2,1,4166.67,ALDEOTA
480000,120,3,3,2,4000.0,JOAQUIM TAVORA
330000,61,2,2,2,5409.84,CAMBEBA
645000,76,3,1,2,8486.84,MEIRELES
450000,78,2,2,1,5769.23,MEIRELES
359000,91,3,3,2,3945.05,COCO
410000,176,3,4,2,2329.55,JOSE DE ALENCAR
350000,88,3,2,2,3977.27,PARQUE IRACEMA
330000,112,3,2,2,2946.43,PAPICU
690000,220,3,5,4,3136.36,ALDEOTA
360000,136,3,1,2,2647.06,MANUEL DIAS BRANCO
380000,68,3,3,2,5588.24,PAPICU
390000,105,3,4,2,3714.29,FATIMA
250000,82,3,3,1,3048.78,CENTRO
720000,122,3,4,2,5901.64,CIDADE DOS FUNCIONARIOS
320000,67,2,2,2,4776.12,PRAIA DO FUTURO I
240000,70,3,2,1,3428.57,JOQUEI CLUBE
680000,109,3,3,2,6238.53,MEIRELES
350000,84,3,2,1,4166.67,COCO
260000,60,2,2,1,4333.33,VARJOTA
